year,vendor,group_prefix,file_count,candidate_ids,sample_files
2025,라이젠,640WP 10MW 진행 (no-id),1,RSPN251920,PL:RSPN251920CI&PL.pdf
2025,라이젠,라이젠모듈 선적서류 송부건 (no-id),1,RSPN251920,PL:RSPN251920CI&PL.pdf
2024,론지모듈,DL2025032400235,1,DL2025032400235,HBL:DL2025032400235 HBL SCANNING.pdf
2024,론지모듈,LS2410937742,1,LS2410937742,PL:LS2410937742 DL2024101600354CI&PL.pdf
2024,론지모듈,LS2503994178,1,LS2503994178 | DL2025032400235,PL:LS2503994178&79 CI&PL.pdf
2024,론지모듈,LS2504998845,2,LS2504998845,BL:LS2504998845_BL.pdf | PL:LS2504998845 CI&PL.pdf
2024,론지모듈,NPSELHT245133,1,NPSELHT245133,BL:BL No.NPSELHT245133 계산서.pdf
2025,라이젠,RSPN251920,2,RSPN251920,BL:RSPN251920 BL ATD10.27 ETA11.3.pdf | BL:RSPN251920 BL ATD10.27 ETA11.3.pdf
2025,론지솔라,9354694996  석문호 클립 (no-id),3,,CI:LS-ONE-20260319-FREE_CI.pdf | HBL:9354694996_HWB_20260323_439_20260323.pdf | PL:LS-ONE-20260319-FREE_PL.pdf
2026,라이젠에너지,라이젠 30MW 진행건 (no-id),1,RSPN260416,PL:RSPN260416CI&PL V.pdf
2026,라이젠에너지,라이젠 635WP 15MW 선적서류 2026.05.06 (no-id),1,RSPN260416,PL:RSPN260416CI&PL.pdf
2025,론지솔라,LS2507279457,2,LS2507279457 | WXAE25070807,CI:Topsolar_ himo 10X_LS2507279457_CI.pdf | PL:Topsolar_ himo 10X_LS2507279457_PL.pdf
2025,론지솔라,LS2507281832,1,LS2507281832 | LS2507281833,PL:LS2507281832&LS2507281833CI&PL.pdf
2025,론지솔라,LS2507281833,1,LS2507281833 | LS2507281832,BL:LS2507281833&LS2507281832_BL.pdf
2025,론지솔라,LS2507282128,2,LS2507282128,BL:LS2507282128_BL.pdf | PL:LS2507282128   CI&PL.pdf
2025,론지솔라,LS2508283955,2,LS2508283955 | LS2508283956,BL:LS2508283955&LS2508283956_BL.pdf | PL:LS2508283955&LS2508283956_CI&PL.pdf
2025,론지솔라,LS2510289290,4,LS2510289290,BL:LS2510289290_BL.pdf | BL:LS2510289290_BL.pdf | PL:LS2510289290_CI&PL.pdf
2025,론지솔라,LS2510289292,4,LS2510289292,BL:LS2510289292_BL.pdf | BL:LS2510289292_BL.pdf | PL:LS2510289292 11HQ  ATD11.3 CIPL.pdf
2025,론지솔라,LS2511290148,8,LS2511290148 | LS2511290150,BL:LS2511290148&LS2511290150_BL (1).pdf | BL:LS2511290148&LS2511290150_BL.pdf | OBL:LS2511290148&LS2511290150_OBL.pdf
2025,론지솔라,LS2512292813,2,LS2512292813 | LS2512292814,OBL:LS2512292813&LS2512292814_OBL.pdf | PL:LS2512292813&LS2512292814_CI&PL.pdf
2025,론지솔라,LS2512292815,2,LS2512292815 | LS2512292985,BL:LS2512292815&LS2512292985_BL.pdf | PL:LS2512292815&LS2512292985_CI&PL.pdf
2025,론지솔라,LS2512293984,2,LS2512293984,OBL:LS2512293984_OBL.pdf | PL:LS2512293984_CI&PL.pdf
2025,론지솔라,"Re_ THE ONE Co.,Ltd_40HQ_25_LS-ONE-20260310-1_ATD0320_LR7-72HGD-615MA (no-id)",3,,BL:LS-ONE-20260310-1_BL.pdf | CI:LS-ONE-20260310-1_CI.pdf | PL:LS-ONE-20260310-1_PL.pdf
2025,론지솔라,"THE ONE Co., Ltd_40HQ_25_LS-ONE-20260312-1_ATD0323_LR7-72HGD-615MA (no-id)",4,,BL:LS-ONE-20260312-1_BL.pdf | CI:LS-ONE-20260312-1_CI (수정본).pdf | CI:LS-ONE-20260312-1_CI.pdf
