lc_id,lc_number,open_date,db_amount,xlsx_amount,diff,memo
0e859791-e8d8-4af6-ade4-69bb53512207,M0215402NU00089,2024-02-21,536213.25,2822175.0,-2285961.75,M144: SWIFT MT700 자료 백필 (산업은행 KDB_S
9545ed06-873c-43bf-98f3-be9731917729,M0215405NU00228,2024-05-21,319438.94,580798.0800000001,-261359.14000000007,M144: SWIFT MT700 자료 백필 (산업은행 KDB_S
e4b322ca-5c09-4586-baff-d0babec4a697,M0215405NU00331,2024-05-30,638877.89,1161596.1600000001,-522718.27000000014,M144: SWIFT MT700 자료 백필 (산업은행 KDB_S
893c6ffe-b41d-4d2a-a05c-ba31b0a0d8a6,M0215407NU00395,2024-07-25,945177.66,1050197.4,-105019.73999999987,M144: SWIFT MT700 자료 백필 (산업은행 KDB_S
c368b8fd-1872-4d9f-9910-fefa91c3bb70,M0215410NU00281,2024-10-15,4725888.3,5250987.0,-525098.7000000002,M144: SWIFT MT700 자료 백필 (산업은행 KDB_S
3011ace1-4acb-478e-a344-48c15f102200,M0215506NU00438,2025-07-03,800620.42,444971.51999999996,355648.9000000001,M124: LC# prefix 기반 추정 (M02→산업)
a6c586b9-263e-42b6-9f23-8b8f1a2345e0,M0215507NU00331,2025-08-10,2041245.6,1940661.6,100584.0,M124: LC# prefix 기반 추정 (M02→산업)
8a2b5a5f-a7ae-4724-9cc8-8a40de46f695,M0215508NU00267,2025-12-05,1768029.6,1431645.6,336384.0,M124: LC# prefix 기반 추정 (M02→산업)
4631861e-884c-44ee-b770-0bbdbb13ba61,M0215508NU00274,2025-09-25,6986304.0,5400675.0,1585629.0,M124: LC# prefix 기반 추정 (M02→산업)
63fea165-24b3-41a0-8151-94b255f90583,M0215508NU00281,2025-11-15,1385860.07,10384318.049999999,-8998457.979999999,M124: LC# prefix 기반 추정 (M02→산업)
5ac34aa0-1fd5-4d8f-bdbc-d9f53fb9763b,M0215509NU00356,2025-10-15,979793.28,98328.96,881464.3200000001,M124: LC# prefix 기반 추정 (M02→산업)
9c44a69d-0465-440a-9f54-686c28b5a07b,M0215511NU00274,2025-12-19,1912962.42,3588448.5,-1675486.08,M124: LC# prefix 기반 추정 (M02→산업)
716352c1-f2ca-4cf9-8037-2360d5665327,M0215511NU00388,2025-12-25,2686895.82,4298337.225,-1611441.4049999998,M124: LC# prefix 기반 추정 (M02→산업)
b6900849-f7bf-48d5-89a1-ef0d4510a0b6,M0215601NU00324,2026-02-24,5646663.68,118702.08,5527961.6,M124: LC# prefix 기반 추정 (M02→산업)
aa6bfedd-743c-49a2-8cb8-b5517118a8e9,M0215603NU00139,2026-03-23,1289655.0,3802619.415,-2512964.415,M124: LC# prefix 기반 추정 (M02→산업)
5ab52595-13e3-4484-8d30-5f70f2320bbf,M0215603NU00153,2026-03-05,333332.83,3333328.29,-2999995.46,M134: imp26-론지솔라
5acf68ec-5205-4854-9122-bb143f521d9b,M0215603NU00153,2026-03-25,1289655.0,3333328.29,-2043673.29,M124: LC# prefix 기반 추정 (M02→산업)
08256554-4d64-4ff7-86c5-c437d2e9d5ac,M0215603NU00160,2026-03-05,96896.08,968960.79,-872064.7100000001,M134: imp26-론지솔라
38130e73-0cc8-4340-af58-91cd55a5df31,M0215604NU00160,2026-04-20,3958986.24,1880518.46,2078467.7800000003,M134: imp26-라이젠
444a7fd8-0c5d-4b72-bbc9-5c577dfd0134,M04NG2506NU00032,2025-07-24,1889760.0,1199997.6,689762.3999999999,M124: LC# prefix 미인식 (M04/M34/M42) 
5f458643-9794-4f22-a3cf-946280d3239a,M100R2509NU00040,2025-10-20,2504541.6,1134143.208,1370398.392,M124: LC# prefix 기반 추정 (M100→광주)
8a6c4dd8-f30b-4852-940b-e63599c934b4,M100R2512NU00025,2025-12-25,2374991.64,2373730.2,1261.4399999999441,M124: LC# prefix 기반 추정 (M100→광주)
cc789cb5-51cd-4a34-bf3f-0ceba75fcdc8,M100R2602NU00107,2026-04-16,1579523.99,38785.5,1540738.49,M124: LC# prefix 기반 추정 (M100→광주)
08f7803b-3c55-450b-b27f-32dae5bec855,M100R2602NU00114,2026-02-01,28090.8,280908.0,-252817.2,M134: imp26-론지솔라
4b7445ec-dae6-44e6-80b2-7a2b15673389,M12MK2502NU00032,2025-03-10,2516314.5,2148512.21,367802.29000000004,"M119 백필 — bank=신한 default, 실제 발급은행 "
0a32b9cd-834f-4fd1-aac2-5532f2bb87f6,M12MK2503NU00025,2025-04-30,2183616.0,801014.4,1382601.6,"M119 백필 — bank=신한 default, 실제 발급은행 "
cd769393-9dcc-4b82-a7c9-4ae71fd1e5a6,M12MK2503NU00032,2025-04-19,1989734.4,1828.8,1987905.5999999999,"M119 백필 — bank=신한 default, 실제 발급은행 "
87700c53-2977-4fab-9b10-26a4aff5181a,M12MK2503NU00040,2025-04-08,483024.08,255049.725,227974.355,"M119 백필 — bank=신한 default, 실제 발급은행 "
05662029-96ff-4451-8418-db97899f2684,M12MK2504NU00032,2025-05-26,691200.0,438912.0,252288.0,"M119 백필 — bank=신한 default, 실제 발급은행 "
44a648ac-7324-4a4b-9b4c-2fa8535f801d,M12MK2507NU00025,2025-08-10,514153.03,462644.46,51508.57000000001,"M119 백필 — bank=신한 default, 실제 발급은행 "
63b78ad8-cae1-4940-a812-e2216aefdc76,M12MK2508NU00025,2025-09-05,469763.48,178615.98,291147.5,"M119 백필 — bank=신한 default, 실제 발급은행 "
44dc7489-f353-440e-9fd0-30c5a2d7d723,M12MK2508NU00032,2025-09-29,1244519.43,414136.80000000005,830382.6299999999,"M119 백필 — bank=신한 default, 실제 발급은행 "
87c2b871-d1a6-4e0d-be47-815af3f1289b,M12MK2510NU00025,2025-11-03,1353026.4,865935.36,487091.0399999999,"M119 백필 — bank=신한 default, 실제 발급은행 "
61961e91-c90e-4cf2-87ac-938416f04b00,M12MK2510NU00040,2025-11-18,2822297.76,1792173.708,1030124.0519999997,"M119 백필 — bank=신한 default, 실제 발급은행 "
70521070-aaa5-4192-b5db-da114aca336f,M12MK2511NU00032,2025-12-23,400332.24,360299.02,40033.21999999997,"M119 백필 — bank=신한 default, 실제 발급은행 "
e46608b1-fe45-4483-9edf-25c4fed7d8d8,M12MK2601NU00040,2026-02-24,3601466.0,943533.8,2657932.2,"M119 백필 — bank=신한 default, 실제 발급은행 "
26b99726-6d7d-468a-9287-d575e025f084,M12MK2602NU00025,2026-02-01,189174.38,1891743.75,-1702569.37,M134: imp26-론지솔라
8e3c2a18-121c-4781-8281-773044111565,M34PD2601NU00018,2026-01-22,2465791.8,212952.75,2252839.05,M134: imp26-트리나
