lc_number,file_count,amount_hint,issue_hint,sample_files
M0215410NU00370,8,"USD
26003988",2024-10-25,JWSH24110084 CI.pdf | JWSH24110084 PL.pdf | 징코모듈 630WP 1188pcs+24pcs  LC Draft(2024.10.25).pdf
M04NG2409NU00032,4,"USD528,",,2 CI_Z20240923125-1 2000166667.pdf | 3 PL_Z20240923125-1 2000166667.pdf | 2 CI_Z20240923125-1 2000166667.pdf
M04NG2410NU00025,4,"USD
26003991",,JWSH24110045-CI.pdf | JWSH24110045-PL.pdf | JWSH24110045-CI.pdf
M04NG2512NU00018,8,USD  227026.80,,LS2512292813&LS2512292814_CI&PL.pdf | LS2512292813&LS2512292814_INSURANCE.pdf | LS2512292815&LS2512292985_CI&PL.pdf
M04NG2512NU00025,8,"(USD702,347.24)",,LS2512293984_CI&PL.pdf | LS2512293984_INSURANCE.pdf | LS2512293984_CI&PL.pdf
M04PH2512NU00032,2,,,TED-2507-09808-04-COO.pdf | TED-2507-09808-04-COO.pdf
M12MK2401NU00018,6,"USD 
575",,LS-TOPSOLAR-20240119-01.pdf | LS-TOPSOLAR-20240119-02.pdf | NPSELHT245133.pdf
M12MK2402NU00018,4,"USD 1,301,806.44",,"증권.pdf | INV,PL-M12MK2402NU00018_1st shipment_2024 02.pdf | 증권.pdf"
M12MK2403NU00018,16,USD0,,1 CI_Z20240306206-1.pdf | 2 PL_Z20240306206-1.pdf | 1.CI_Z20240306203-1(UPDATE3.6).pdf
M12MK2403NU00032,4,"USD 1,334,322.00",,탑솔라_M12MK2403NU00032_증권.pdf | 240327_INV&PL(KNK-TOP)_10MW_signed.pdf | 탑솔라_M12MK2403NU00032_증권.pdf
M12MK2404NU00018,2,"USD 1,269,290.88",,탑솔라_M12MK2404NU00018_증권.pdf | 탑솔라_M12MK2404NU00018_증권.pdf
M12MK2404NU00025,8,USD  0.132,,"INV,PL to Top Solar-KNKE20240430.pdf | INV,PL-KNKE20240430(Draft).pdf | KNK에너지 수입에 따른 모듈대금 및 기타경비 지출의 건(1MW).pdf"
M12MK2405NU00025,2,"(USD623,026.40)",,5 insurance 66021060620240001057 保单 Original.pdf | 5 insurance 66021060620240001057 保单 Original.pdf
M12MK2407NU00018,2,,,론지모듈 수입화물선취보증신청서(M12MK2407NU00018).pdf | 론지모듈 수입화물선취보증신청서(M12MK2407NU00018).pdf
M12MK2408NU00064,2,,,LC 조건변경신청서(론지 610WP 700KW) M12MK2408NU00064.pdf | LC 조건변경신청서(론지 610WP 700KW) M12MK2408NU00064.pdf
M12MK2409NU00018,46,"(USD1,131,641.28)",,4.保单草稿件(24.9.14check).pdf | insurance 保单草稿件.pdf | 4.insurance 66021060620240001587.pdf
M12MK2409NU00025,2,"USD26,813.16,",,LS2409930233.pdf | LS2409930233.pdf
M12MK2409NU00040,24,(USD332205.30),,1. 8000016155-Z20241014208-CI.pdf | 2. 8000016155-Z20241014208-PL.pdf | 1.8000012868-CUSTOMS-Z20241012070-2-CI.pdf
M12MK2410NU00018,2,"USD12,876.00,",,LS2410937742 DL2024101600354CI&PL.pdf | LS2410937742 DL2024101600354CI&PL.pdf
M12MK2410NU00025,14,(USD351494.64),,JWSH24110083 CI.pdf | JWSH24110083 PL v2.pdf | JWSH24110083 PL.pdf
M42M62602NU00018,2,,,탑솔라(주)_수입필증(DFS815002451).pdf | 탑솔라(주)_수입필증(DFS815002451).pdf
