rel_path,lc_nos,new_lc_nos,amount_hint,issue_hint
"2024년 모듈발주/KNK에너지(CIS)/1MW 발주서/INV,PL to Top Solar-KNKE20240430.pdf",M12MK2404NU00025,M12MK2404NU00025,USD  0.132,
"2024년 모듈발주/KNK에너지(CIS)/1MW 발주서/INV,PL-KNKE20240430(Draft).pdf",M12MK2404NU00025,M12MK2404NU00025,USD  0.132,
2024년 모듈발주/KNK에너지(CIS)/1MW 발주서/KNK에너지 수입에 따른 모듈대금 및 기타경비 지출의 건(1MW).pdf,M12MK2404NU00025,M12MK2404NU00025,"(USD138,441.60)",
2024년 모듈발주/KNK에너지(CIS)/1MW 발주서/탑솔라_M12MK2404NU00025_증권.pdf,M12MK2404NU00025,M12MK2404NU00025,"USD 138,441.60",
2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/10MW 선적진행/증권.pdf,M12MK2402NU00018,M12MK2402NU00018,"USD 1,301,806.44",
"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/10MW 선적진행/1차 5MW 선적서류/INV,PL-M12MK2402NU00018_1st shipment_2024 02.pdf",M12MK2402NU00018,M12MK2402NU00018,USD 0.132,
"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/1차 진행 10MW/탑솔라_M12MK2403NU00032_증권.pdf",M12MK2403NU00032,M12MK2403NU00032,"USD 1,334,322.00",
"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/2차 진행 10MW/탑솔라_M12MK2404NU00018_증권.pdf",M12MK2404NU00018,M12MK2404NU00018,"USD 1,269,290.88",
"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/1차 진행 10MW/Re_Re_Re_Re_ Re_ 탑솔라주식회사 발주서 송부/240327_INV&PL(KNK-TOP)_10MW_signed.pdf",M12MK2403NU00032,M12MK2403NU00032,"USD  1,334,322.00",
2024년 모듈발주/론지모듈/론지모듈 10MW(6월물량) 2024.05.30/05.30 탑솔라 가전문.pdf,M0215405NU00331,,"(USD:638,877.89)",2024-05-30
2024년 모듈발주/론지모듈/론지모듈 10MW(6월물량) 2024.05.30/KDB_SWIFT발신_21992407_20240530153408(탑솔라 전문).pdf,M0215405NU00331,,"(USD:638,877.89)",2024-05-30
2024년 모듈발주/론지모듈/론지모듈 580WP 200pcs 2024.10.15/LS2410937742 DL2024101600354CI&PL.pdf,M12MK2410NU00018,M12MK2410NU00018,"USD12,876.00,",
2024년 모듈발주/론지모듈/론지모듈 5MW(6월물량)2024.05.22/KDB_SWIFT발신_론지모듈 580WP 5MW 전신문.pdf,M0215405NU00228,,"(USD:319,438.94)",2024-05-21
2024년 모듈발주/론지모듈/론지모듈 610WP 396pcs 2024.09.24/LS2409930233.pdf,M12MK2409NU00025,M12MK2409NU00025,"USD26,813.16,",
2024년 모듈발주/론지모듈/론지모듈 610WP 700KW  1152pcs(2024.08.30)/LC 조건변경신청서(론지 610WP 700KW) M12MK2408NU00064.pdf,M12MK2408NU00064,M12MK2408NU00064,,
2024년 모듈발주/론지모듈/론지모듈 615WP 4877pcs 3MW 2025.04.02/LS2504998845 CI&PL.pdf,M12MK2504NU00018,,"USD284,938.73,",
"2024년 모듈발주/론지모듈/론지모듈 615WP 무탄소 3MW, 탄소 2.4MW (2025.03.20)/LS2503994178&79 CI&PL.pdf",M12MK2503NU00040,,"USD255,049.73,",
"2024년 모듈발주/론지모듈/론지모듈 615WP 무탄소 3MW, 탄소 2.4MW (2025.03.20)/탑솔라(주)_면장(SHACYR14644).pdf",M12MK2503NU00040,,,
2024년 모듈발주/론지모듈/론지모듈 LS2405248825  580WP  17568pcs/KDB_일괄영수증_21992407_20240624135926(L.G발급수수료).pdf,M0215405NU00331,,,
2024년 모듈발주/론지모듈/선적서류 NPSELHT242755/LS-TOPSOLAR-20240119-01.pdf,M12MK2401NU00018,M12MK2401NU00018,"USD 
575",
2024년 모듈발주/론지모듈/선적서류 NPSELHT242756/LS-TOPSOLAR-20240119-02.pdf,M12MK2401NU00018,M12MK2401NU00018,"USD 
580",
2024년 모듈발주/론지모듈/선적서류 NPSELHT245133/NPSELHT245133.pdf,M12MK2401NU00018,M12MK2401NU00018,,
"2024년 모듈발주/론지모듈/론지모듈 580WP 17,280pcs(10MW)2024.07.17/론지10MW 2024.08.03선적  NPSELHT245797/론지모듈 수입화물선취보증신청서(M12MK2407NU00018).pdf",M12MK2407NU00018,M12MK2407NU00018,,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/KDB_SWIFT발신_(징코솔라 모듈 625N 10MW) 2014.03.25.pdf,M0215403NU00300,,"(USD:1,072,426.50)",2024-03-25
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/탑솔라 가전문 0325(수정).pdf,M0215403NU00300,,"(USD:1,072,426.50)",2024-03-25
2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/Topsolar MCKRJH24Q104 LC JKS review 240221.pdf,M0215402NU00071,,"(USD:536,213.25)",2024-02-20
2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 가전문(2024.02.21).pdf,M0215402NU00089,,"(USD:536,213.25)",2024-02-21
2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 가전문(징코솔라)2024.02.20 취소.pdf,M0215402NU00071,,"(USD:536,213.25)",2024-02-20
2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 주식회사 전문(KDB_SWIFT발신_21992407_20240221164115).pdf,M0215402NU00089,,"(USD:536,213.25)",2024-02-21
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)/2 CI_Z20240326077-1.pdf,M0215403NU00300,,"(USD1,072,426.50)",
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)/3 PL_Z20240326077-1.pdf,M0215403NU00300,,,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)/KDB_수입선적서류인수통지증_21992407_20240412155125.pdf,M0215403NU00300,,"USD
1,072,426.50",
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코 5MW선적/1차 광양/1 CI_Z20240306206-1.pdf,M12MK2403NU00018,M12MK2403NU00018,USD0,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코 5MW선적/1차 광양/2 PL_Z20240306206-1.pdf,M12MK2403NU00018,M12MK2403NU00018,USD0,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코 5MW선적/2차 부산/1.CI_Z20240306203-1(UPDATE3.6).pdf,M12MK2403NU00018,M12MK2403NU00018,USD0,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코 5MW선적/2차 부산/2 PL_Z20240306203-1(UPDATE3.6).pdf,M12MK2403NU00018,M12MK2403NU00018,USD0,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코 5MW선적/RE_ [탑솔라(주)  기자재실] 100MW 모듈 구매계약서 날인본 송부드립니다/1 CI_Z20240306206-1.pdf,M12MK2403NU00018,M12MK2403NU00018,USD0,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코 5MW선적/RE_ [탑솔라(주)  기자재실] 100MW 모듈 구매계약서 날인본 송부드립니다/1.CI_Z20240306203-1(UPDATE3.6).pdf,M12MK2403NU00018,M12MK2403NU00018,USD0,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코 5MW선적/RE_ [탑솔라(주)  기자재실] 100MW 모듈 구매계약서 날인본 송부드립니다/2 PL_Z20240306203-1(UPDATE3.6).pdf,M12MK2403NU00018,M12MK2403NU00018,USD0,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코 5MW선적/RE_ [탑솔라(주)  기자재실] 100MW 모듈 구매계약서 날인본 송부드립니다/2 PL_Z20240306206-1.pdf,M12MK2403NU00018,M12MK2403NU00018,USD0,
2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/선적서류/2.Z0360963476186(24.2.26PLEASE AMEND).pdf,M0215402NU00089,,"(USD620,878.50)",
2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/선적서류/징코 5MW 7992장/CI_Z20240222247-1.pdf,M0215402NU00089,,"(USD536,213.25)",
2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/선적서류/징코 5MW 7992장/PL_Z20240222247-1.pdf,M0215402NU00089,,"(USD536,213.25)",
"2024년 모듈발주/징코모듈/100MW 중 630W 5MW 선적진행 2024.05.25/630WP  5MW 선적서류/RE_ 100MW수정계약,  620W계약서(684장)/5 insurance 66021060620240001057 保单 Original.pdf",M12MK2405NU00025,M12MK2405NU00025,"(USD623,026.40)",
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/징코평택/4.保单草稿件(24.9.14check).pdf,M12MK2409NU00018,M12MK2409NU00018,"(USD1,131,641.28)",
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/징코평택/insurance 保单草稿件.pdf,M12MK2409NU00018,M12MK2409NU00018,"(USD835,633.26)",
