category,filename,rel_path,extracted_lcs,parent
application,론지모듈 LC개설 Draft(2024.01.17).pdf,2024년 모듈발주/론지모듈/론지모듈 LC개설 Draft(2024.01.17).pdf,,론지모듈
application,론지모듈 LC개설신청서 5MW(2024.01.17).pdf,2024년 모듈발주/론지모듈/론지모듈 LC개설신청서 5MW(2024.01.17).pdf,,론지모듈
opening_swift,KNK에너지 CS7N-690TB-AG 1MW 개설 전신문(2024.04.17).pdf,2024년 모듈발주/KNK에너지(CIS)/1MW 발주서/KNK에너지 CS7N-690TB-AG 1MW 개설 전신문(2024.04.17).pdf,,1MW 발주서
opening_swift,KNK에너지 690TB  10MW LC개설 전신문(2024.02.15).pdf,2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/10MW 선적진행/KNK에너지 690TB  10MW LC개설 전신문(2024.02.15).pdf,,10MW 선적진행
application,KNK에너지 690TB  10MW LC개설신청서(Draft).pdf,2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/10MW 선적진행/KNK에너지 690TB  10MW LC개설신청서(Draft).pdf,,10MW 선적진행
application,KNK에너지 690TB  10MW LC개설신청서.pdf,2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/10MW 선적진행/KNK에너지 690TB  10MW LC개설신청서.pdf,,10MW 선적진행
opening_swift,KNK에너지  690WP 10MW L.C개설 전문.pdf,"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/1차 진행 10MW/KNK에너지  690WP 10MW L.C개설 전문.pdf",,1차 진행 10MW
opening_swift,KNK에너지 690WP 10MW 가전문.pdf,"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/1차 진행 10MW/KNK에너지 690WP 10MW 가전문.pdf",,1차 진행 10MW
opening_swift,KNK에너지 (CSI모듈) LC개설 전신문 2024.04.01.pdf,"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/2차 진행 10MW/KNK에너지 (CSI모듈) LC개설 전신문 2024.04.01.pdf",,2차 진행 10MW
opening_swift,LC개설 가전문(2024.04.01).pdf,"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/2차 진행 10MW/LC개설 가전문(2024.04.01).pdf",,2차 진행 10MW
application,LC개설신청서(2024.04.01).pdf,"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/2차 진행 10MW/LC개설신청서(2024.04.01).pdf",,2차 진행 10MW
opening_swift,05.30 탑솔라 가전문.pdf,2024년 모듈발주/론지모듈/론지모듈 10MW(6월물량) 2024.05.30/05.30 탑솔라 가전문.pdf,M0215405NU00331,론지모듈 10MW(6월물량) 2024.05.30
opening_swift,KDB_SWIFT발신_21992407_20240530153408(탑솔라 전문).pdf,2024년 모듈발주/론지모듈/론지모듈 10MW(6월물량) 2024.05.30/KDB_SWIFT발신_21992407_20240530153408(탑솔라 전문).pdf,M0215405NU00331,론지모듈 10MW(6월물량) 2024.05.30
opening_swift,가전문(론지모듈)2024.05.09.pdf,"2024년 모듈발주/론지모듈/론지모듈 580WP 10MW 선적  13464pcs, 3816pcs/가전문(론지모듈)2024.05.09.pdf",,"론지모듈 580WP 10MW 선적  13464pcs, 3816pcs"
opening_swift,론지모듈 580WP 10MW LC개설 전신문(2024.05.10).pdf,"2024년 모듈발주/론지모듈/론지모듈 580WP 10MW 선적  13464pcs, 3816pcs/론지모듈 580WP 10MW LC개설 전신문(2024.05.10).pdf",,"론지모듈 580WP 10MW 선적  13464pcs, 3816pcs"
application,론지모듈 580WP 10MW LC개설신청서(Draft) Rev 01..pdf,"2024년 모듈발주/론지모듈/론지모듈 580WP 10MW 선적  13464pcs, 3816pcs/론지모듈 580WP 10MW LC개설신청서(Draft) Rev 01..pdf",,"론지모듈 580WP 10MW 선적  13464pcs, 3816pcs"
application,론지모듈 580WP 10MW LC개설신청서(Draft).pdf,"2024년 모듈발주/론지모듈/론지모듈 580WP 10MW 선적  13464pcs, 3816pcs/론지모듈 580WP 10MW LC개설신청서(Draft).pdf",,"론지모듈 580WP 10MW 선적  13464pcs, 3816pcs"
application,론지모듈 10MW LC개설신청서.pdf,2024년 모듈발주/론지모듈/론지모듈 580Wp 17280장(10MW) 2024.08.13/론지모듈 10MW LC개설신청서.pdf,,론지모듈 580Wp 17280장(10MW) 2024.08.13
opening_swift,론지모듈 580WP 10MW LC개설 전신문(2024.08.13).pdf,2024년 모듈발주/론지모듈/론지모듈 580Wp 17280장(10MW) 2024.08.13/론지모듈 580WP 10MW LC개설 전신문(2024.08.13).pdf,,론지모듈 580Wp 17280장(10MW) 2024.08.13
