__lc_number,__source_file,__sheet,__row,10%,1PLT  수량,90%,Amount,Amount(100%),B/L No,F/S,L/G 발행,LC,No.,P/O No.,PLT,Q'ty,Unit  price,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col23,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col5,col50,col51,col52,col53,col54,col6,col7,기타 비용,반입 후 60일,반출 기한,발주서 PI,발주일자,발주처 및 발주일자,선적,수량 (F/M包),업체,운송/창고료 (VAT포함가),유산스,입항,통관,포워더,"포장 40""",품명,현장배송
M12MK2401NU00018,수입진행상황(module)-2025년도.xlsx,2024,5,,,,368046,,NPSELHT245133,,2024-02-06,"하나
은행",1,"LGi-L-Sal-2203-0361-A012
(일반 100MW)
(T/T4,299,916.29)
V4버젼",99,5040,0.127,,2024-01-17,M12MK2401NU00018,5040,,2898000,"540,492.70
(85%)

15%-95,381.06",,"221221.94
15%-39,039.16",,,,,부산 생곡동 부산5호,575,1512,,,,,,,,,,,,,,,,,,,,,,,2898000,,,부산,,"100MW
발주건",,2024-02-02,3564,론지,6119580,,2024-02-04,2024-02-05,"씨앤
아이",,LR5-72HGD-575M,2024-02-14
M12MK2405NU00018,수입진행상황(module)-2025년도.xlsx,2024,22,,,,1142553.6,,NPSELHT245468,,발행,"하나
은행",,,374,17280,0.114,,2024-05-09,M12MK2405NU00018,17280,,10022400,"628,404.48
(55%)

45%-514,149.12",,489631.82,,,,,구미시 공단동,580,1728,,,,,,,,,,,,,,,,,,,,,,,10022400,,,부산,,,,2024-05-22,13464,,33466538,,,,"씨앤
아이",19,LR5-72HGD-580M,2024-06-06
M0215405NU00228,수입진행상황(module)-2025년도.xlsx,2024,38,,,,580798.0800000001,,NPSELHT245530,,발행,"산업
은행",,,244,8784,0.114,,2024-05-21,M0215405NU00228,8784,,5094720,"319,438.94 (55%)
261,359.14 (45%)",,319438.94,,,,,제주가시리,580,1728,,,,,,,,,,,,,,,,,,,,,,,5094720,,,광양,,,,2024-06-02,8784,,14666546,2024-09-03,2024-06-08,,"씨앤
아이",13,LR5-72HGD-580M,2024-06-12
M0215405NU00331,수입진행상황(module)-2025년도.xlsx,2024,42,,,,1161596.1600000001,,NPSELHT245554,,발행,"산업
은행",,,488,17568,0.114,,2024-05-30,M0215405NU00331,17568,,10189440,"638,877.89 (55%)
522,718.27 (45%)",,638877.89,,,,,제주가시리,580,1584,,,,,,,,,,,,,,,,,,,,,,,10189440,,,광양,,,,2024-06-14,17568,,41070032,2024-09-12,2024-06-16,,"씨앤
아이",25,LR5-72HGD-580M,2024-07-05
M12MK2407NU00018,수입진행상황(module)-2025년도.xlsx,2024,49,,,,1112486.4,,NPSELHT245797,,2024-08-07,"하나
은행",,,480,17280,0.111,,2024-07-17,M12MK2407NU00018,17280,,10022400,"611,867.52(55%)
500,618.88 (45%)",,611867.52,,,,,제주가시리,580,792,,,,,,,,,,,,,,,,,,,,,,,10022400,,,광양,,,,2024-08-03,17280,,28912610,,2024-08-05,,"씨앤
아이",,LR5-72HGD-580M,2024-08-19
M12MK2408NU00032,수입진행상황(module)-2025년도.xlsx,2024,56,,,,1112486.4,,NPSELHT246019,,2024-09-02,"하나
은행",,,480,17280,0.111,,2024-08-13,M12MK2408NU00032,17280,,10022400,"611,867.52(55%)
500,618.88 (45%)",,611867.52,,,,,제주가시리,580,3456,,,,,,,,,,,,,,,,,,,,,,,10022400,,,,,,,2024-08-30,17280,,24864587,,2024-09-04,,"씨앤
아이",,LR5-72HGD-580M,2024-09-10
M12MK2408NU00057,수입진행상황(module)-2025년도.xlsx,2024,61,,,,303616.08,,NPSELHT244030,,2024-09-06,"하나
은행",,,240,4716,0.111,,2024-08-23,M12MK2408NU00057,17262,,10011960,"166,988.84(55%)
136,627.24 (45%)

581,552.27 (72%)
226,159.21 (28%)",,748541.11,,,,,제주가시리,580,3456,,,,,,,,,,,,,,,,,,,,,,,2735280,,,,,,,2024-09-04,4716,,16337788,,2024-09-08,광양,"씨앤
아이",,LR5-72HGD-580M,2024-09-27
M12MK2408NU00064,수입진행상황(module)-2025년도.xlsx,2024,68,,,,78001.92,,NPSELHT244080,,2024-09-19,"하나
은행",,,32,1152,0.111,,2024-08-30,M12MK2408NU00064,1152,,702720,"42,901.06(55%)
 35,100.86(45%)",,42901.06,,,,,김해고모리,610,792,,,,,,,,,,,,,,,,,,,,,,,702720,,,,,,,2024-09-13,1152,,"
2,641,310",,2024-09-16,부산,씨앤아이,,LR7-72HGD-610M,2024-09-25
M12MK2409NU00025,수입진행상황(module)-2025년도.xlsx,2024,71,,,,26813.16,,NPSELHT244269,,2024-10-17,하나은행,,,,396,0.111,,2024-09-24,M12MK2409NU00025,396,,241560,"(55%)14,747.24
 (45%)12,065.92",,14747.24,,,,,김해시 고모리,610,396,,,,,,,,,,,,,,,,,,,,,,,241560,,,부산,,,,2024-10-15,396,,2079586,,,부산,씨앤아이,,LR7-72HGD-610M,2024-11-15
M12MK2410NU00018,수입진행상황(module)-2025년도.xlsx,2024,72,,,,12876,,NPSELHT244299,,2024-10-29,"하나
은행",,,,200,0.111,,2024-10-15,M12MK2410NU00018,,,,7081.8,,7081.8,,,,,제주가시리,580,128,,,,,,,,,,,,,,,,,,,,,,,116000,,,,,,,2024-10-27,200,,1201274,,2024-10-30,광양,씨앤아이,,LR5-72HGD-580M,2024-10-31
