lc_number,file_count,sample_file,sample_sheet,sample_row
M0215410NU00370,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"JKM630N-78HL4-BDV-S | 1188 | 24 | 748440 | 0.105 | 78586.2 | 산업
은행 | 2024-10-25 00:00:00 | M0215410NU00370 | 70727.58 | 1212 | 2024-11-27 00:00:00 | JWSH24110084 | 2024-12-02 아침 | 1034번지 본사 | 108 | 39"
M04NG2409NU00018,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"JKM630N-78HL4-BDV-S | 7920 | 4989600 | 0.105 | 523908 | 기업은행 | 2024-09-06 00:00:00 | M04NG2409NU00018 | 7920 | 4989600 | 10% TT
90%LC
-415.80
 471,101.40 | 471517.2 | 2024-09-23 00:00:00 | 2024-09-25 "
M04NG2409NU00032,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"JKM635N-78HL4-BDV-S | 15660 | 9944100 | 0.105 | 1044130.5 | 기업
은행 | 2024-09-20 00:00:00 | M04NG2409NU00032 | 7920 | 5029200 | 528,066.00
10% TT
90%LC | 475259.4 | 2024-10-06 00:00:00 | 2024-10-10 00:0"
M04NG2410NU00025,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"기업
은행 | 2024-10-17 00:00:00 | M04NG2410NU00025 | 90% 464,458.05 | 516,064.50
90% 464,458.05
10%51,606.45 | 2024-11-16 00:00:00 | 2024-11-18 00:00:00 | 7740 | 219 | 부산 | 부산 | 씨앤
아이 | JWSH24110045 | 202"
M04NG2512NU00018,3,솔라플로우_통합정리자료_2026-05-15.xlsx,10. E1. 25년 PO 실데이터,12 | 디원 | 론지 | Lgi-UG-Sal-2510-1898-C012 | LR7-72HYD-645M | 1584 | 0.099 | 101146.32 | 기업은행 | 2025-12-01 | M04NG2512NU00018 | 2025-12-09 | 2025-12-12 | 1584 | LG
M04NG2512NU00025,2,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2025,"기업은행 | 2025-12-16 00:00:00 | M04NG2512NU00025 | 3323 | 702347.24 | 3323 | 블루 | SHADHG40310
(일본통운) | 2026.02.06 | 충북 청주(사정리104) | 론지 650 | 2088"
M100R2603NU00032,1,2026년 모듈 발주/수입진행상황(module)-2026년도.xlsx,론지솔라,"615 | 28760 | 17687400 | 국민
은행 | 2026-03-12 00:00:00 | M100R2603NU00032 | 28760 | 17687400 | 1854523.89 | 925972.29 | 2026-05-05 00:00:00 | 14360 | 399 | 20 | 2026-05-18 00:00:00 | 오비엘 5/11발송 | 광양 | 선"
M12MK2401NU00018,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"1 | 100MW
발주건 | 론지 | LGi-L-Sal-2203-0361-A012
(일반 100MW)
(T/T4,299,916.29)
V4버젼 | LR5-72HGD-575M | 5040 | 2898000 | 0.127 | 368046 | 하나
은행 | 2024-01-17 00:00:00 | M12MK2401NU00018 | 5040 | 2898000 | 5"
M12MK2402NU00018,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"3 | 2024-01-30 00:00:00 | KNK | KNK-TOP240130 (10MW) | CS7N-690TB-AG | 14293 | 200 | 9862170 | 0.132 | 1301806.4400000002 | 하나
은행 | 2024-02-15 00:00:00 | M12MK2402NU00018 | 14293 | 200 | 9862170 | 130"
M12MK2403NU00018,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"하나
은행 | 2024-03-05 00:00:00 | M12MK2403NU00018 | 15984 | 9990000 | 1,128,870.00
(5% 56,443.50, 
95% 1,072,426.50) | 2024-06-11 00:00:00 | 541044 | 2024-03-14 00:00:00 | 2024-03-16 00:00:00 | 8064 | 22"
