bl_id,bl_number,lcs
544682ce-37ce-44d6-b66e-1a2187ec0077,DFS815002448,M100R2602NU00114
5306dfd8-df57-4827-9257-854f85988e8c,DFS815002451,M42M62602NU00018
a5ab7ce3-3721-48a3-bb32-7ca68fbef09b,ESZX2502368,M0215508NU00281
6e21970e-c196-4ba8-ade7-5127db6c18e0,JWSH24020155,M0215402NU00089
fae4215f-2686-47b2-9d3e-f4fa63169a4c,JWSH24030083,M12MK2403NU00018
35326967-7ea1-4955-b99d-f76d97ea7d8e,JWSH24040006,M0215403NU00300
9365ed4b-c83a-49bc-825f-5e9e283f89ef,JWSH24090056,M04NG2409NU00018
059c9a3a-dbed-4150-8549-8bb8490b8068,JWSH24090078,M12MK2409NU00018
72ddd8ff-a707-4570-9a36-d38a296da15f,JWSH24110019,M0215410NU00281
f8524908-aaf2-4d6e-83ed-5e6951397a84,JWSH24110045,M04NG2410NU00025
fb589f78-6a90-4a8b-87f3-b30f3c3c0e41,JWSH24110079,M12MK2410NU00025
765dfe10-b6ef-409e-b1a6-5b32e9b05a3c,JWSH24110084,M0215410NU00370
cb7f859f-bfa6-42b0-8d91-f3c4557a1749,JWSH24120043,M12MK2412NU00025
6c88e0d4-e33b-4114-9a8b-7743703963d2,NPSELHT244030,M12MK2408NU00057
9e4fc4da-cabc-41e8-ad7e-768aeabf85a5,NPSELHT244080,M12MK2408NU00064
c608a948-586e-4ca7-842e-1f98d7e4a65a,NPSELHT244269,M12MK2409NU00025
b2d07d55-52cf-4372-a933-233f6a11fcbe,NPSELHT244299,M12MK2410NU00018
bb621cdd-999b-452d-8352-c34b04f39f3a,NPSELHT245133,M12MK2401NU00018
ae8a29ed-72b9-4856-a4c9-fdf376afd74d,NPSELHT245468,M12MK2405NU00018
de8f31ff-5953-47c0-8209-ac7228ca990d,NPSELHT245530,M0215405NU00228
ba4ed6db-8327-4670-b51a-26150ef55403,NPSELHT245554,M0215405NU00331
479151bd-fb22-46a1-9cc3-be50679e754c,NPSELHT245797,M12MK2407NU00018
678ac890-08d7-4a86-a2bf-fa77e345d0c3,NPSELHT246019,M12MK2408NU00032
37565cec-2c14-46de-93bd-c9d841c4e1c6,SHAA28081200,M12MK2503NU00032
ca2be425-2fc4-4416-a291-82216dd0f9ea,ZHC2402012,M12MK2402NU00018
b9617c0f-24cb-43e7-b1f9-0689aa874842,ZHC2403011,M12MK2403NU00032
cb54ca07-905c-4388-a45c-666a8770bae5,ZHC2404001,M12MK2404NU00018
8bff0581-4bcd-417b-ac2a-3943db4f3247,ZHC2404043,M12MK2404NU00025
