rel_path,file_type,page_count,text_len
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/635WP 7920(5MW)09.19/디원 - 징코 635WP 5MW/1 OBL EASEK2439NB232_BL.pdf,OBL,1,2463
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)/OBL 635W 11520pcs SNKO03K250200546.pdf,OBL,2,3032
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)/OBL 635W 12096pcs SNKO03K250200547.pdf,OBL,2,3116
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP  45MW 가운데 30MW(2025.02.19)/징코선적 15MW 3.13출항/SNKO03K250201370_BL COPY.pdf,BL,2,2876
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP  45MW 가운데 30MW(2025.02.19)/징코선적 15MW 3.13출항/SNKO03K250201371_BL COPY.pdf,BL,2,3081
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)/1 BL copy JWSH24040006 JWL2021-ORG.pdf,BL,1,2342
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)/1 OBL JWSH24040006-OBL.pdf,OBL,2,3547
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/630WP 5MW 진행 7920pcs/JWSH24090056 OBL.pdf,OBL,2,2846
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP  25MW 선적  2024.09.13 개설/부산 9.8MW/3.OBL JWSH24090078.pdf,OBL,2,3500
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/탑솔라 징코 25MW  2024.07. 분할개설/부산 9.8MW/3.OBL JWSH24090078.pdf,OBL,2,3500
