file_type,classification,page_count,total_chars,avg_chars_per_page,filename,rel_path
CI,DIGITAL,2,1188,594.0,1. 8000016155-Z20241014208-CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\1차선적 5580pcs(3.5MW) 10.25선적\1. 8000016155-Z20241014208-CI.pdf
PL,DIGITAL,1,605,605.0,2. 8000016155-Z20241014208-PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\1차선적 5580pcs(3.5MW) 10.25선적\2. 8000016155-Z20241014208-PL.pdf
CI,DIGITAL,1,1341,1341.0,1.8000012868-CUSTOMS-Z20241012070-2-CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\2차 징코 630WP 9216pcs\1.8000012868-CUSTOMS-Z20241012070-2-CI.pdf
PL,DIGITAL,1,751,751.0,2.8000012868-CUSTOMS-Z20241012070-2-PL(update).pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\2차 징코 630WP 9216pcs\2.8000012868-CUSTOMS-Z20241012070-2-PL(update).pdf
CI,DIGITAL,1,1372,1372.0,1.8000012866-Z20241012068-2-CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\3차징코 630WP 12672pcs\1.8000012866-Z20241012068-2-CI.pdf
PL,DIGITAL,1,755,755.0,2.8000012866-Z20241012068-2-PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\3차징코 630WP 12672pcs\2.8000012866-Z20241012068-2-PL.pdf
CI,DIGITAL,1,1491,1491.0,CI-Z20240910262.PDF,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\630WP 5MW 진행 7920pcs\CI-Z20240910262.PDF
PL,DIGITAL,1,625,625.0,PL-Z20240910262(1).PDF,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\630WP 5MW 진행 7920pcs\PL-Z20240910262(1).PDF
CI,DIGITAL,1,1083,1083.0,2 CI_Z20240923125-1 2000166667.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\635WP 7920(5MW)09.19\디원 - 징코 635WP 5MW\2 CI_Z20240923125-1 2000166667.pdf
OBL,SCAN,1,0,0.0,1 OBL EASEK2439NB232_BL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\635WP 7920(5MW)09.19\디원 - 징코 635WP 5MW\1 OBL EASEK2439NB232_BL.pdf
PL,DIGITAL,1,608,608.0,3 PL_Z20240923125-1 2000166667.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\635WP 7920(5MW)09.19\디원 - 징코 635WP 5MW\3 PL_Z20240923125-1 2000166667.pdf
