year,vendor,prefix,file_type,filename,size_bytes,rel_path
2024,론지모듈,DL2025032400235,HBL,DL2025032400235 HBL SCANNING.pdf,860874,"2024년 모듈발주\론지모듈\론지모듈 615WP 무탄소 3MW, 탄소 2.4MW (2025.03.20)\DL2025032400235 HBL SCANNING.pdf"
2024,론지모듈,LS2410937742,PL,LS2410937742 DL2024101600354CI&PL.pdf,595825,2024년 모듈발주\론지모듈\론지모듈 580WP 200pcs 2024.10.15\LS2410937742 DL2024101600354CI&PL.pdf
2024,론지모듈,LS2503994178,PL,LS2503994178&79 CI&PL.pdf,61980,"2024년 모듈발주\론지모듈\론지모듈 615WP 무탄소 3MW, 탄소 2.4MW (2025.03.20)\LS2503994178&79 CI&PL.pdf"
2024,론지모듈,LS2504998845,BL,LS2504998845_BL.pdf,792090,2024년 모듈발주\론지모듈\론지모듈 615WP 4877pcs 3MW 2025.04.02\LS2504998845_BL.pdf
2024,론지모듈,LS2504998845,PL,LS2504998845 CI&PL.pdf,56768,2024년 모듈발주\론지모듈\론지모듈 615WP 4877pcs 3MW 2025.04.02\LS2504998845 CI&PL.pdf
2024,론지모듈,NPSELHT245133,BL,BL No.NPSELHT245133 계산서.pdf,17123,2024년 모듈발주\론지모듈\선적서류 NPSELHT245133\BL No.NPSELHT245133 계산서.pdf
2024,운송료,ZHC2404001,BL,BL No ZHC2404001(세금계산서).pdf,16895,2024년 모듈발주\운송료\ZHC2404001\BL No ZHC2404001(세금계산서).pdf
2024,운송료,ZHC2404001,BL,BL NoZHC2404001 통관수수료.pdf,16134,2024년 모듈발주\운송료\ZHC2404001\BL NoZHC2404001 통관수수료.pdf
2024,징코모듈,1차 광양 (no-id),CI,1 CI_Z20240306206-1.pdf,65883,2024년 모듈발주\징코모듈\100MW 중 625W 10MW 선적\징코 5MW선적\1차 광양\1 CI_Z20240306206-1.pdf
2024,징코모듈,1차 광양 (no-id),OBL,4 OBL 24030082.pdf,740868,2024년 모듈발주\징코모듈\100MW 중 625W 10MW 선적\징코 5MW선적\1차 광양\4 OBL 24030082.pdf
2024,징코모듈,1차 광양 (no-id),PL,2 PL_Z20240306206-1.pdf,89802,2024년 모듈발주\징코모듈\100MW 중 625W 10MW 선적\징코 5MW선적\1차 광양\2 PL_Z20240306206-1.pdf
2024,징코모듈,1차선적 5580pcs(3.5MW) 10.25선적 (no-id),CI,1. 8000016155-Z20241014208-CI.pdf,78343,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\1차선적 5580pcs(3.5MW) 10.25선적\1. 8000016155-Z20241014208-CI.pdf
2024,징코모듈,1차선적 5580pcs(3.5MW) 10.25선적 (no-id),PL,2. 8000016155-Z20241014208-PL.pdf,70350,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\1차선적 5580pcs(3.5MW) 10.25선적\2. 8000016155-Z20241014208-PL.pdf
2024,징코모듈,2차 부산 (no-id),CI,1.CI_Z20240306203-1(UPDATE3.6).pdf,65662,2024년 모듈발주\징코모듈\100MW 중 625W 10MW 선적\징코 5MW선적\2차 부산\1.CI_Z20240306203-1(UPDATE3.6).pdf
