year,vendor,prefix,has_BL,has_PL,has_CI,has_HBL,has_OBL,file_count,sample_filenames
2024,론지모듈,DL2025032400235,0,0,0,1,0,1,HBL:DL2025032400235 HBL SCANNING.pdf
2024,론지모듈,LS2410937742,0,1,0,0,0,1,PL:LS2410937742 DL2024101600354CI&PL.pdf
2024,론지모듈,LS2503994178,0,1,0,0,0,1,PL:LS2503994178&79 CI&PL.pdf
2024,론지모듈,LS2504998845,1,1,0,0,0,2,PL:LS2504998845 CI&PL.pdf | BL:LS2504998845_BL.pdf
2024,론지모듈,NPSELHT245133,1,0,0,0,0,1,BL:BL No.NPSELHT245133 계산서.pdf
2024,운송료,ZHC2404001,2,0,0,0,0,2,BL:BL No ZHC2404001(세금계산서).pdf | BL:BL NoZHC2404001 통관수수료.pdf
2024,징코모듈,1차 광양 (no-id),0,1,1,0,1,3,CI:1 CI_Z20240306206-1.pdf | PL:2 PL_Z20240306206-1.pdf | OBL:4 OBL 24030082.pdf
2024,징코모듈,1차선적 5580pcs(3.5MW) 10.25선적 (no-id),0,1,1,0,0,2,CI:1. 8000016155-Z20241014208-CI.pdf | PL:2. 8000016155-Z20241014208-PL.pdf
2024,징코모듈,2차 부산 (no-id),0,1,1,0,1,3,CI:1.CI_Z20240306203-1(UPDATE3.6).pdf | PL:2 PL_Z20240306203-1(UPDATE3.6).pdf | OBL:24030083 OBL.pdf
2024,징코모듈,2차 징코 630WP 9216pcs (no-id),0,1,1,0,0,2,CI:1.8000012868-CUSTOMS-Z20241012070-2-CI.pdf | PL:2.8000012868-CUSTOMS-Z20241012070-2-PL(update).pdf
2024,징코모듈,3차징코 630WP 12672pcs (no-id),0,1,1,0,0,2,CI:1.8000012866-Z20241012068-2-CI.pdf | PL:2.8000012866-Z20241012068-2-PL.pdf
2024,징코모듈,630WP 5MW 진행 7920pcs (no-id),0,1,1,0,0,2,CI:CI-Z20240910262.PDF | PL:PL-Z20240910262(1).PDF
2024,징코모듈,디원 - 징코 635WP 5MW (no-id),0,1,1,0,1,3,OBL:1 OBL EASEK2439NB232_BL.pdf | CI:2 CI_Z20240923125-1 2000166667.pdf | PL:3 PL_Z20240923125-1 2000166667.pdf
2024,징코모듈,디원 징코 (no-id),0,1,1,0,0,2,CI:CI_Z20240812178-1.pdf | PL:PL_Z20240812178-1.pdf
2024,징코모듈,부산 9.8MW (no-id),0,2,2,0,0,4,CI:1.CI_Z20240914116-1 2000164818.pdf | PL:2.PL_Z20240914116-1 2000164818.pdf | CI:1.CI_Z20240914116-1 2000164818.pdf | PL:2.PL_Z20240914116-1 2000164818.pdf
2024,징코모듈,선적서류 (no-id),0,2,2,0,0,4,CI:CI 1차 5MW.PDF | PL:PL 1차 5MW.PDF | CI:CI_Z20240729119-1.pdf | PL:PL_Z20240729119-1.pdf
