year,vendor,prefix,pl_count,ci_count,sample_filename,parent_folder,sibling_bl_pdfs,parent_zips,enhanced_ids_in_filename,hypothesis
2024,론지모듈,LS2410937742,1,0,LS2410937742 DL2024101600354CI&PL.pdf,론지모듈 580WP 200pcs 2024.10.15,,,LS2410937742,H4
2024,론지모듈,LS2503994178,1,0,LS2503994178&79 CI&PL.pdf,"론지모듈 615WP 무탄소 3MW, 탄소 2.4MW (2025.03.20)",,,LS2503994178,H4
2024,징코모듈,1차 광양 (no-id),1,1,1 CI_Z20240306206-1.pdf,1차 광양,,../RE_ [탑솔라(주)  기자재실] 100MW 모듈 구매계약서 날인본 송부드립니다..zip,,H3
2024,징코모듈,2차 부산 (no-id),1,0,24030083 OBL.pdf,2차 부산,,../RE_ [탑솔라(주)  기자재실] 100MW 모듈 구매계약서 날인본 송부드립니다..zip,,H3
2024,징코모듈,디원 - 징코 635WP 5MW (no-id),1,1,2 CI_Z20240923125-1 2000166667.pdf,디원 - 징코 635WP 5MW,1 OBL EASEK2439NB232_BL.pdf,,2000166667,H1
2024,징코모듈,디원 징코 (no-id),1,1,CI_Z20240812178-1.pdf,디원 징코,BL JWSH2408012 OBL.pdf,../RE_ RE_ [탑솔라(주) 기자재실] 모듈 구매계약서 송부드립니다. (디원).zip,,H1
2024,징코모듈,선적서류 (no-id),2,2,CI 1차 5MW.PDF,선적서류,,,,H4
2024,징코모듈,징코 5MW 7992장 (no-id),2,1,CI_Z20240222247-1.pdf,징코 5MW 7992장,BL - JWSH24020155.PDF | BL JWSH24020155 JWL2021-ORG stamped.pdf | BL JWSH24020155 JWL2021-ORG.pdf,,,H1
2024,징코모듈,징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10) (no-id),2,2,CI 635W 11520pcs SNKO03K250201369.pdf,징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10),,../RE_ RE_ [탑솔라(주) 기자재실] 모듈 구매계약서 송부드립니다. (탑솔라건).zip | ../당진125MW 자재공급승인원 제출 서류 목록(진코 630W).zip,,H3
2024,징코모듈,징코선적 15MW 3.13출항 (no-id),2,2,CI 8000121182 SNKO03K250201370.pdf,징코선적 15MW 3.13출항,,,8000121182 | 8000121183,H2
2024,징코모듈,JWSH24110083,2,1,JWSH24110083 CI.pdf,광양 일반물량,,../RE_ RE_ [탑솔라(주) 기자재실] 모듈 구매계약서 송부드립니다. (탑솔라건).zip | ../당진125MW 자재공급승인원 제출 서류 목록(진코 630W).zip,JWSH24110083,H3
2024,징코모듈,JWSH24110084,1,1,JWSH24110084 CI.pdf,광양 일반물량,,../RE_ RE_ [탑솔라(주) 기자재실] 모듈 구매계약서 송부드립니다. (탑솔라건).zip | ../당진125MW 자재공급승인원 제출 서류 목록(진코 630W).zip,JWSH24110084,H3
