year,vendor,prefix,pl_files,pl_ids,matched_bl_filename,matched_bl_type,score,reason,alternatives,matched_bl_abs
2025,징코모듈,NBOZY6445100,CI:NBOZY6445100 CI.pdf | PL:NBOZY6445100 PL.pdf,"NBOZY6445100,SHKWA25011758",NBOA39932100_HBL扫描.pdf,HBL,20,"id매치=NBOZY6445100,SHKWA25011758 / 같은폴더",,C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2025년 모듈 발주\징코모듈\탑솔라\170MW 계약 진행건 - 완료\170MW - 4차 개설 37MW(2025.04.07)\NBOZY6445100  16128pcs  SHKWA25011758\NBOA39932100_HBL扫描.pdf
2024,징코모듈,SNKO020241008028,CI:SNKO020241008028-CUSTOMS-CI.pdf | PL:SNKO020241008028-CUSTOMS-PL.pdf,SNKO020241008028,JWSH24110001 OBL.pdf,OBL,15,id매치=SNKO020241008028 / 같은폴더,,"C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\6차 SNKO020241008028(11,520PCS)\JWSH24110001 OBL.pdf"
2024,징코모듈,SNKO020241008037,CI:SNKO020241008037 -CUSTOMS-CI.pdf | PL:SNKO020241008037 -CUSTOMS-PL.pdf,SNKO020241008037,JWSH24110002 OBL.pdf,OBL,15,id매치=SNKO020241008037 / 같은폴더,,"C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\5차 SNKO020241008037(11,520PCS)\JWSH24110002 OBL.pdf"
2024,징코모듈,SNKO020241009053,CI:SNKO020241009053 -CUSTOMS-CI.pdf | PL:SNKO020241009053 -CUSTOMS-PL.pdf,SNKO020241009053,JWSH24110003 OBL.pdf,OBL,15,id매치=SNKO020241009053 / 같은폴더,,"C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\4차 SNKO020241009053 (12,996PCS)\JWSH24110003 OBL.pdf"
2025,론지솔라,LS2507281832,PL:LS2507281832&LS2507281833CI&PL.pdf,LS2507281832,LS2507281833&LS2507281832_BL.pdf,BL,15,id매치=LS2507281832 / 같은폴더,LS2507281831_BL.pdf (10) | LS2507282128_BL.pdf (10),"C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2025년 모듈 발주\론지솔라\탑솔라\론지모듈 640, 645,620\론지선적서류\[선적서류]_탑솔라(주)__론지모듈_LR7-72HYD-640_645M_11_40HQ__LR7-72HGD-620M_1_40HQ__\LS2507281833&LS2507281832_BL.pdf"
2025,징코모듈,FW_ ZJNAHW002 KR (no-id),CI:1.8000325101-CUSTOMS-Z202512050196-2-CI.pdf | PL:3.8000325101-CUSTOMS-Z202512050196-2-PL.pdf,JWSH25120010,2.JWSH25120010 OBL.pdf,OBL,15,id매치=JWSH25120010 / 같은폴더,,C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2025년 모듈 발주\징코모듈\화신이엔지\징코-화신 635WP 17280pcs  JWSH25120010\FW_ ZJNAHW002 KR\2.JWSH25120010 OBL.pdf
2025,징코모듈,JWSH25120029,"CI:CI_15,732pcs  수정본.pdf | CI:CI_15,732pcs.pdf | PL:PL_15,732pcs - 수정본.pdf | PL:PL_15,732pcs.pdf",JWSH25120029,提单_北亚区_出口_TMNBKPTR9924001_20251217 JWSH25120029.pdf,BL,15,id매치=JWSH25120029 / 같은폴더,,C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2025년 모듈 발주\징코모듈\탑솔라\400MW 계약서 - 350MW 변경\징코-탑솔라 15732pcs-JWSH25120029\提单_北亚区_出口_TMNBKPTR9924001_20251217 JWSH25120029.pdf
2025,징코모듈,"RE_ [진코솔라코리아] Topsolar 52mw_CI,PL,FR 송부의 건 (no-id)","CI:CI_19,332pcs.pdf | PL:PL_19,332pcs.pdf",JWSH25120034,"BL_19,332pcs JWSH25120034.pdf",BL,15,id매치=JWSH25120034 / 같은폴더,,"C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2025년 모듈 발주\징코모듈\탑솔라\400MW 계약서 - 350MW 변경\징코-탑솔라 19332pcs-JWSH25120034\RE_ [진코솔라코리아] Topsolar 52mw_CI,PL,FR 송부의 건\BL_19,332pcs JWSH25120034.pdf"
2025,징코모듈,"RE_ [진코솔라코리아] Topsolar CI, PL, FR 송부의 건 (no-id)","CI:CI_17,532pcs.pdf | PL:PL_17,532pcs.pdf",SELYIT256012,"BL_17,532pcs  SELYIT256012.pdf",BL,15,id매치=SELYIT256012 / 같은폴더,,"C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2025년 모듈 발주\징코모듈\탑솔라\400MW 계약서 - 350MW 변경\징코-탑솔라 17,532pcs  SELYIT256012\RE_ [진코솔라코리아] Topsolar CI, PL, FR 송부의 건\BL_17,532pcs  SELYIT256012.pdf"
2025,JA솔라 모듈,KNKE20250724,PL:Packing_list_(KNK~TOP_SOLAR)_KNKE20250724_(5MW).pdf,"KNKE20250724,PCCLBL001250720",PCSLJBL001250720.pdf,BL,15,id매치=PCCLBL001250720 / 같은폴더,,C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2025년 모듈 발주\JA솔라 모듈\KNK\70MW 발주\JA솔라(PCCLBL001250720)\PCSLJBL001250720.pdf
