filename,rel_path,is_swift_mt700,lc_number,issue_date,expiry_date,amount,currency,drawee_bic,drawee_bank,usance_days,usance_basis,applicant,beneficiary,port_loading,port_discharge
KNK에너지 CS7N-690TB-AG 1MW 개설 전신문(2024.04.17).pdf,2024년 모듈발주/KNK에너지(CIS)/1MW 발주서/KNK에너지 CS7N-690TB-AG 1MW 개설 전신문(2024.04.17).pdf,False,,,,,,,,,,,,,
KNK에너지 690TB  10MW LC개설 전신문(2024.02.15).pdf,2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/10MW 선적진행/KNK에너지 690TB  10MW LC개설 전신문(2024.02.15).pdf,False,,,,,,,,,,,,,
KNK에너지  690WP 10MW L.C개설 전문.pdf,"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/1차 진행 10MW/KNK에너지  690WP 10MW L.C개설 전문.pdf",False,,,,,,,,,,,,,
KNK에너지 690WP 10MW 가전문.pdf,"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/1차 진행 10MW/KNK에너지 690WP 10MW 가전문.pdf",False,,,,,,,,,,,,,
KNK에너지 (CSI모듈) LC개설 전신문 2024.04.01.pdf,"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/2차 진행 10MW/KNK에너지 (CSI모듈) LC개설 전신문 2024.04.01.pdf",False,,,,,,,,,,,,,
LC개설 가전문(2024.04.01).pdf,"2024년 모듈발주/KNK에너지(CIS)/30MW 진행/30MW 발주서/20MW 선적진행(10MW, 10MW)/2차 진행 10MW/LC개설 가전문(2024.04.01).pdf",False,,,,,,,,,,,,,
05.30 탑솔라 가전문.pdf,2024년 모듈발주/론지모듈/론지모듈 10MW(6월물량) 2024.05.30/05.30 탑솔라 가전문.pdf,True,M0215405NU00331,2024-05-30,2024-07-09,638877.89,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","LONGI SOLAR TECHNOLOGY CO.,LTD.",1/3,ANY PORT OF SOUTH KOREA
KDB_SWIFT발신_21992407_20240530153408(탑솔라 전문).pdf,2024년 모듈발주/론지모듈/론지모듈 10MW(6월물량) 2024.05.30/KDB_SWIFT발신_21992407_20240530153408(탑솔라 전문).pdf,True,M0215405NU00331,2024-05-30,2024-07-09,638877.89,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","LONGI SOLAR TECHNOLOGY CO.,LTD.",1/3,ANY PORT OF SOUTH KOREA
가전문(론지모듈)2024.05.09.pdf,"2024년 모듈발주/론지모듈/론지모듈 580WP 10MW 선적  13464pcs, 3816pcs/가전문(론지모듈)2024.05.09.pdf",False,,,,,,,,,,,,,
론지모듈 580WP 10MW LC개설 전신문(2024.05.10).pdf,"2024년 모듈발주/론지모듈/론지모듈 580WP 10MW 선적  13464pcs, 3816pcs/론지모듈 580WP 10MW LC개설 전신문(2024.05.10).pdf",False,,,,,,,,,,,,,
