category,lc_number,swift_amount,db_amount_sum,diff,db_rows,swift_issue,swift_expiry,swift_bank,beneficiary
MATCH_DIFF,M0215506NU00438,720558.37,800620,80061.63,1,2025-06-20,2025-08-09,산업은행,KNK ENERGY PTE.LTD.
MATCH_DIFF,M0215509NU00356,785233.44,979793,194559.56000000006,1,2025-09-26,2025-11-21,산업은행,"LONGI SOLAR TECHNOLOGY CO.,LTD"
MATCH_DIFF,M0215508NU00281,2712417.34,1385860,1326557.3399999999,1,2025-08-29,2025-12-20,산업은행,"LONGI SOLAR TECHNOLOGY CO.,LTD."
MATCH_DIFF,M0215603NU00139,3422357.48,1289655,2132702.48,1,2026-03-05,2026-05-20,산업은행,"LONGI SOLAR TECHNOLOGY CO.,LTD."
MATCH_DIFF,M0215508NU00274,5094373.86,6986304,1891930.1399999997,1,2025-08-29,2025-11-09,산업은행,"ZHEJIANG JINKO SOLAR CO.,LTD."
MATCH_DIFF,M0215508NU00267,1288481.04,1768030,479548.95999999996,1,2025-08-29,2025-11-23,산업은행,"ZHEJIANG JINKO SOLAR CO.,LTD."
MATCH_DIFF,M0215507NU00356,999073.44,1110082,111008.56000000006,1,2025-07-21,2025-11-05,산업은행,"ZHEJIANG JINKO SOLAR CO.,LTD."
MATCH_DIFF,M0215507NU00331,1746595.44,2041246,294650.56000000006,1,2025-07-18,2025-10-07,산업은행,"ZHEJIANG JINKO SOLAR CO.,LTD."
MATCH_DIFF,M0215506NU00370,2438430.48,2709367,270936.52,1,2025-06-19,2025-09-04,산업은행,"ZHEJIANG JINKO SOLAR CO.,LTD."
MATCH_DIFF,M0215511NU00388,2552551.03,2686896,134344.9700000002,1,2025-11-27,2026-02-01,산업은행,"ZHEJIANG JINKO SOLAR CO.,LTD."
MATCH_DIFF,M0215511NU00274,1214718.3,1912962,698243.7,1,2025-11-20,2026-02-01,산업은행,"ZHEJIANG JINKO SOLAR CO.,LTD."
MATCH_DIFF,M0215604NU00160,1880518.46,3958986,2078467.54,1,2026-04-20,2026-05-30,산업은행,"RISEN ENERGY CO., LTD"
MATCH_DIFF,M0215602NU00096,1240951.61,1306265,65313.3899999999,1,2026-02-02,2026-05-08,산업은행,"ZHEJIANG JINKO SOLAR CO.,LTD."
MATCH_DIFF,M0215601NU00324,5334368.26,5646664,312295.7400000002,1,2026-01-30,2026-04-20,산업은행,"ZHEJIANG JINKO SOLAR CO.,LTD."
